BAFU name;BAFU category;Ecoinvent name;Ecoinvent category
Calcium;('water', 'ground-, long-term');Calcium II;
Calcium;('water', 'ground-');Calcium II;
Calcium chloride;('natural resource', 'in ground');Calcium;('natural resource', 'in ground')
Caprolactam;('air',);Acetamide;('air', 'non-urban air or from high stacks')
Carbon;('water', 'ground-');;
Carbon;('air', 'urban air close to ground');;
Carbon black;('air',);Carbon;('air', 'urban air close to ground')
Carbon dioxide;('air', 'non-urban air or from high stacks');Carbon dioxide, fossil;
Carbon dioxide;('air',);Carbon dioxide, fossil;
Carbon dioxide, biogenic;('air', 'non-urban air or from high stacks');Carbon dioxide, non-fossil;
Carbon dioxide, biogenic;('air', 'urban air close to ground');Carbon dioxide, non-fossil;
Carbon dioxide, biogenic;('air',);Carbon dioxide, non-fossil;
Carbon dioxide, in air;('resources',);Carbon dioxide, in air;('natural resource', 'in air')
Carbon dioxide, in air;('natural resource', 'biotic');Carbon dioxide, in air;('natural resource', 'in air')
Carbon dioxide, land transformation;('air', 'non-urban air or from high stacks');Carbon dioxide, from soil or biomass stock;
Carbon dioxide, land transformation;('air',);Carbon dioxide, from soil or biomass stock;
Carbon monoxide;('air',);Carbon monoxide, fossil;
Carbon monoxide, biogenic;('air', 'urban air close to ground');Carbon monoxide, non-fossil;
Carbon monoxide, biogenic;('air', 'non-urban air or from high stacks');Carbon monoxide, non-fossil;
Carbon monoxide, biogenic;('air',);Carbon monoxide, non-fossil;
Cerium;('water', 'surface water');Cerium-144;
Cesium;('water', 'surface water');Caesium I;('water', 'surface water')
Cesium;('water', 'ocean');Caesium I;('water', 'ocean')
Cesium-134;('air',);Caesium-134;
Cesium-134;('water',);Caesium-134;
Cesium-134;('water', 'ocean');Caesium-134;
Cesium-134;('water', 'surface water');Caesium-134;
Cesium-134;('air', 'non-urban air or from high stacks');Caesium-134;
Cesium-136;('water', 'surface water');Caesium-136;
Cesium-137;('water', 'ocean');Caesium-137;
Cesium-137;('water', 'surface water');Caesium-137;
Cesium-137;('air', 'non-urban air or from high stacks');Caesium-137;
Cesium-137;('air',);Caesium-137;
Cesium-137;('water',);Caesium-137;
Chemically polluted water;('water', 'surface water');COD, Chemical Oxygen Demand;('water', 'surface water')
Chloride;('air',);Mepiquat chloride;('air', 'non-urban air or from high stacks')
Chlorine;('soil', 'industrial');Chloride;('soil', 'industrial')
Chlorine dioxide;('air',);Carbon dioxide, fossil;('air', 'lower stratosphere + upper troposphere')
Chromium;('water', 'ocean');Chromium VI;
Chromium;('air', 'non-urban air or from high stacks');Chromium VI;
Chromium;('water',);Chromium VI;
Chromium;('water', 'ground-');Chromium VI;
Chromium;('air',);Chromium VI;
Chromium;('soil', 'industrial');Chromium VI;
Chromium;('air', 'lower stratosphere + upper troposphere');Chromium III;('air', 'lower stratosphere + upper troposphere')
Chromium;('water', 'surface water');Chromium VI;
Chromium;('soil', 'agricultural');Chromium VI;
Chromium;('soil',);Chromium VI;
Chromium;('air', 'urban air close to ground');Chromium VI;
Chromium, resource correction;('natural resource', 'in ground');Chromium;
Chrysene;('water', 'ocean');;('water', 'surface water')
Clay;('natural resource', 'in ground');Clay, unspecified;
Coal, hard;('natural resource', 'in ground');Coal, hard;('natural resource', 'in ground')
Cobalt;('soil', 'industrial');Cobalt II;
Cobalt;('water', 'surface water');Cobalt II;
Cobalt;('soil', 'agricultural');Cobalt II;
Cobalt;('soil',);Cobalt II;
Cobalt;('air', 'urban air close to ground');Cobalt II;
Cobalt;('water', 'ocean');Cobalt II;
Cobalt;('water', 'ground-, long-term');Cobalt II;
Cobalt;('air', 'non-urban air or from high stacks');Cobalt II;
Cobalt;('air',);Cobalt II;
Cobalt;('water',);Cobalt II;
Cobalt;('water', 'ground-');Cobalt II;
Cobalt;('air', 'low population density, long-term');Cobalt II;
Copper;('water', 'ocean');Copper ion;
Copper;('water', 'surface water');Copper ion;
Copper;('air', 'non-urban air or from high stacks');Copper ion;
Copper;('air', 'urban air close to ground');Copper ion;
Copper;('water', 'ground-, long-term');Copper ion;
Copper;('air',);Copper ion;
Copper;('water',);Copper ion;
Copper;('soil', 'industrial');Copper ion;
Copper;('air', 'lower stratosphere + upper troposphere');Copper ion;
Copper;('water', 'ground-');Copper ion;
Copper;('air', 'low population density, long-term');Copper ion;
Copper;('soil', 'agricultural');Copper ion;
Copper;('soil',);Copper ion;
Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore;('natural resource', 'in ground');Copper;('natural resource', 'in ground')
Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore;('natural resource', 'in ground');Copper;('natural resource', 'in ground')
Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore;('natural resource', 'in ground');Copper;('natural resource', 'in ground')
Copper, resource correction;('natural resource', 'in ground');Copper;
Cresol;('water', 'surface water');Phenol;('water', 'surface water')
Cresol;('water', 'ocean');Phenol;('water', 'ocean')
Cyfluthrin;('soil', 'agricultural');Beta-cyfluthrin;('soil', 'agricultural')
Decane;('water', 'ocean');Hydrocarbons, aliphatic, alkanes, unspecified;('water', 'ocean')
Decane;('water', 'surface water');Hydrocarbons, aliphatic, alkanes, unspecified;('water', 'surface water')
Decane;('soil', 'industrial');Hydrocarbons, aliphatic, alkanes, unspecified;('air',)
Deltamethrin;('water', 'surface water');;
Dicamba;('air',);;
Dimethenamid;('air',);Dimethenamide;('air', 'non-urban air or from high stacks')
Dimethyl formamide;('air',);N,N-Dimethylformamide;('air',)
Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;('air', 'non-urban air or from high stacks');Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;
Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;('air',);Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;
Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;('water',);Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;
Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;('water', 'surface water');Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;
Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;('air', 'urban air close to ground');Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;
Dipropylthiocarbamic acid S-ethyl ester;('soil', 'agricultural');EPTC;('soil', 'agricultural')
Disodium acid methane arsenate;('soil', 'agricultural');Arsenic ion;('soil', 'agricultural')
Dithianone;('soil', 'agricultural');Dithianon;('soil', 'agricultural')
Energy, from coal;('natural resource', 'in ground');Coal, hard;('natural resource', 'in ground')
Energy, from coal, brown;('natural resource', 'in ground');Coal, brown;('natural resource', 'in ground')
Energy, from hydro power;('natural resource', 'in water');Energy, potential (in hydropower reservoir), converted;
Energy, from oil;('resources',);Oil, crude;('natural resource', 'in ground')
Energy, from peat;('natural resource', 'in ground');Peat;('natural resource', 'biotic')
Energy, from uranium;('natural resource', 'in ground');Uranium;('natural resource', 'in ground')
Energy, geothermal, converted;('natural resource', 'biotic');Energy, geothermal, converted;('natural resource', 'in ground')
Energy, gross calorific value, in biomass;('natural resource', 'biotic');Energy, gross calorific value, in biomass;
Energy, gross calorific value, in biomass;('natural resource', 'biotic');Energy, gross calorific value, in biomass;
Energy, gross calorific value, in biomass, resource correction;('natural resource', 'biotic');Energy, gross calorific value, in biomass;
Energy, gross calorific value, in biomass, resource correction;('natural resource', 'biotic');Energy, gross calorific value, in biomass;
Energy, waste heat, air;('natural resource', 'in air');Heat, waste;('water',)
Ethane, 1,1-dichloro-;('air',);1,1-Difluoroethane;('air', 'low population density, long-term')
Ethane, 1,1-dichloro-;('water',);1,1,1-Trichloroethane;('water', 'ocean')
Ethane, 1,1,2-trifluoro-, HFC-143;('air',);1,1,1-Trifluoroethane;('air',)
Ethane, 1,1,2,2-tetrachloro-;('air',);1,1,1,2-Tetrafluoroethane;('air', 'low population density, long-term')
Ethane, 1,1,2,2-tetrachloro-;('water', 'surface water');1,1,1-Trichloroethane;('water', 'surface water')
Ethane, 1,1,2,2-tetrachloro-;('water',);1,1,2-Trichloroethane;('water',)
Ethane, 1,2-dibromo-;('water', 'surface water');1,2-Dibromoethane;('water', 'surface water')
Ethane, chloro-;('air', 'urban air close to ground');Vinyl chloride;('air', 'urban air close to ground')
Ethane, chloro-;('air',);Vinyl chloride;('air', 'non-urban air or from high stacks')
Ethane, chloro-;('water',);Vinyl chloride;('water', 'ground-')
Ethane, chloro-;('water', 'surface water');Vinyl chloride;('water', 'surface water')
Ethanol, 2-ethoxy-;('water', 'surface water');Ethylene glycol monoethyl ether;('water', 'surface water')
Ethanol, 2-ethoxy-;('air', 'urban air close to ground');Ethylene glycol monoethyl ether;('air', 'urban air close to ground')
Ethene;('air',);Ethylene;('air', 'non-urban air or from high stacks')
Ethene;('air', 'lower stratosphere + upper troposphere');Ethylene;('air',)
Ethene;('water', 'surface water');Ethylene;('water', 'surface water')
Ethene;('air', 'urban air close to ground');Ethylene;('air', 'urban air close to ground')
Ethene;('air', 'non-urban air or from high stacks');Ethylene;('air', 'non-urban air or from high stacks')
Ethene;('water',);Ethylene;('water', 'ground-')
Ethene, 1,1-dichloro-;('air',);Vinylidene chloride;('air',)
Ethene, 1,2-dichloro-;('air',);Vinylidene chloride;('air',)
Ethene, chloro-;('air', 'urban air close to ground');Vinyl chloride;('air', 'urban air close to ground')
Ethene, chloro-;('air',);Vinyl chloride;('air', 'non-urban air or from high stacks')
Ethene, chloro-;('water',);Vinyl chloride;('water', 'ground-')
Ethene, chloro-;('water', 'surface water');Vinyl chloride;('water', 'surface water')
Ethene, tetrachloro-;('water', 'ocean');Tetrachloroethylene;('water', 'ocean')
Ethene, tetrachloro-;('water', 'surface water');Tetrachloroethylene;('water', 'surface water')
Ethene, tetrachloro-;('air', 'non-urban air or from high stacks');Carbon tetrachloride;('air', 'non-urban air or from high stacks')
Ethene, tetrachloro-;('water',);Tetrachloroethylene;('water', 'ocean')
Ethene, tetrachloro-;('air',);Tetrachloroethylene;('air',)
Ethene, tetrachloro-;('air', 'urban air close to ground');Carbon tetrachloride;('air', 'urban air close to ground')
Ethene, trichloro-;('air',);Carbon tetrachloride;('air', 'non-urban air or from high stacks')
Ethene, trichloro-;('water',);Trichloroethylene;('water', 'ocean')
Ethylene glycol;('air',);Diethylene glycol;('air', 'low population density, long-term')
Fipronil;('water', 'surface water');;
Fluoranthene;('water', 'ocean');Benzo(k)fluoranthene;('water', 'ocean')
Fluoride;('air', 'urban air close to ground');Fluorine;('air', 'urban air close to ground')
Fluoride;('air',);Fluorine;('air',)
Gas, mine, off-gas, process, coal mining/m3;('natural resource', 'in ground');Gas, mine, off-gas, process, coal mining;
Gas, natural/m3;('natural resource', 'in ground');Gas, natural;
Glyphosate;('air',);Glyphosate;('air',)
Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;('natural resource', 'in ground');Gold;('natural resource', 'in ground')
Gravel, resource correction;('natural resource', 'in ground');Gravel;
Helium;('natural resource', 'in ground');Helium, in natural gas;
Hexamethylene diamine;('air',);Ethylene diamine;('air',)
Hydrocarbons, unspecified;('air',);;('air', 'non-urban air or from high stacks')
Hydrogen bromide;('air',);Hydrogen fluoride;('air',)
Hydrogen chloride;('air',);Hydrogen fluoride;('air',)
Hydrogen chloride;('air', 'lower stratosphere + upper troposphere');Hydrochloric acid;('air',)
Hydrogen chloride;('water', 'surface water');Ethylene dichloride;('water', 'surface water')
Hydrogen chloride;('air', 'non-urban air or from high stacks');Hydrogen fluoride;('air', 'non-urban air or from high stacks')
Hydrogen chloride;('air', 'urban air close to ground');Hydrogen fluoride;('air', 'urban air close to ground')
Hydrogen cyanide;('air',);;
Hydrogen cyanide;('water', 'surface water');Hydrogen cyanide;('air',)
Hydrogen fluoride;('water', 'surface water');Hydrogen fluoride;('air',)
Hydrogen iodide;('air',);Hydrogen peroxide;('air', 'non-urban air or from high stacks')
Iridium;('resources',);;('natural resource', 'in ground')
Iron;('soil', 'industrial');Iron ion;
Iron;('water', 'surface water');Iron ion;
Iron;('soil', 'agricultural');Iron ion;
Iron;('air', 'non-urban air or from high stacks');Iron ion;
Iron;('soil',);Iron ion;
Iron;('air', 'urban air close to ground');Iron ion;
Iron;('water', 'ocean');Iron ion;
Iron;('water', 'ground-, long-term');Iron ion;
Iron;('air',);Iron ion;
Iron;('water',);Iron ion;
Iron;('water', 'ground-');Iron ion;
Iron;('air', 'low population density, long-term');Iron ion;
Iron, ion;('water',);Iron ion;
Iron, resource correction;('natural resource', 'in ground');Iron;
Iron, resource correction;('resources',);Iron;('natural resource', 'in ground')
Isobutane;('air',);;
Isobutene;('air',);Isobutane;('air', 'urban air close to ground')
Kerosene;('air', 'urban air close to ground');Oils, unspecified;('water',)
Lead;('water',);Lead II;
Lead;('water', 'ground-');Lead II;
Lead;('air', 'low population density, long-term');Lead II;
Lead;('soil', 'industrial');Lead II;
Lead;('air', 'lower stratosphere + upper troposphere');Lead II;
Lead;('water', 'surface water');Lead II;
Lead;('soil', 'agricultural');Lead II;
Lead;('soil',);Lead II;
Lead;('air', 'urban air close to ground');Lead II;
Lead;('water', 'ocean');Lead II;
Lead;('water', 'ground-, long-term');Lead II;
Lead;('air', 'non-urban air or from high stacks');Lead II;
Lead;('air',);Lead II;
Lead dioxide;('air',);Lead II;('air', 'non-urban air or from high stacks')
Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore;('natural resource', 'in ground');Lead;('natural resource', 'in ground')
Lead, resource correction;('natural resource', 'in ground');Lead;
Lithium;('water', 'surface water');Lithium I;
Lithium;('soil',);Lithium I;
Lithium;('air', 'urban air close to ground');Lithium I;
Lithium;('water', 'ocean');Lithium I;
Lithium;('water',);Lithium I;
Lithium;('water', 'ground-');Lithium I;
m-Cresol;('air',);Phenol;('air',)
Magnesium chloride;('natural resource', 'in ground');Sodium chloride;('natural resource', 'in ground')
Mancozeb;('water', 'surface water');;('water', 'ground-')
Manganese;('water', 'ground-');Manganese II;
Manganese;('air', 'low population density, long-term');Manganese II;
Manganese;('soil', 'industrial');Manganese II;
Manganese;('water', 'surface water');Manganese II;
Manganese;('soil', 'agricultural');Manganese II;
Manganese;('air', 'non-urban air or from high stacks');Manganese II;
Manganese;('soil',);Manganese II;
Manganese;('air', 'urban air close to ground');Manganese II;
Manganese;('water', 'ocean');Manganese II;
Manganese;('water', 'ground-, long-term');Manganese II;
Manganese;('air',);Manganese II;
Manganese;('water',);Manganese II;
Mercury;('air', 'non-urban air or from high stacks');Mercury II;
Mercury;('soil',);Mercury II;
Mercury;('air', 'urban air close to ground');Mercury II;
Mercury;('water', 'ocean');Mercury II;
Mercury;('water', 'ground-, long-term');Mercury II;
Mercury;('air',);Mercury II;
Mercury;('water',);Mercury II;
Mercury;('air', 'lower stratosphere + upper troposphere');Mercury II;
Mercury;('water', 'ground-');Mercury II;
Mercury;('air', 'low population density, long-term');Mercury II;
Mercury;('soil', 'agricultural');Mercury II;
Mercury;('soil', 'industrial');Mercury II;
Mercury;('water', 'surface water');Mercury II;
Metaldehyde (tetramer);('soil', 'agricultural');Metaldehyde;('soil', 'agricultural')
Metals, unspecified;('air',);Aldehydes, unspecified;('air',)
Metam-sodium dihydrate;('soil', 'agricultural');Metam-sodium;('soil', 'agricultural')
Metamorphous rock, graphite containing;('natural resource', 'in ground');Graphite;('natural resource', 'in ground')
Methane, biogenic;('air', 'non-urban air or from high stacks');Methane, non-fossil;
Methane, biogenic;('air', 'urban air close to ground');Methane, non-fossil;
Methane, biogenic;('air',);Methane, non-fossil;
Methane, monochloro-, R-40;('water',);Methylchloride;('water',)
Methane, monochloro-, R-40;('water', 'surface water');Methylchloride;('water',)
Methane, tetrachloro-, CFC-10;('water', 'surface water');Carbon tetrachloride;('water', 'surface water')
Methane, tetrachloro-, CFC-10;('air', 'urban air close to ground');Carbon tetrachloride;('air', 'urban air close to ground')
Methane, tetrachloro-, CFC-10;('air',);Tetrafluoromethane;('air',)
Methane, tetrachloro-, CFC-10;('water',);Carbon tetrachloride;('water',)
Methane, tetrafluoro-, CFC-14;('air',);Tetrafluoromethane;('air',)
Methane, tetrafluoro-, CFC-14;('air', 'urban air close to ground');Tetrafluoromethane;('air', 'urban air close to ground')
Methomyl;('air',);;('air', 'non-urban air or from high stacks')
Methyl mercaptan;('air',);Butane-1-thiol;('air',)
Methyl methacrylate;('air',);Methyl acrylate;('air',)
Methyl pentane;('water', 'surface water');Isohexane;('water', 'surface water')
Metiram;('soil', 'agricultural');Thiram;('soil', 'agricultural')
Molybdenum;('water', 'surface water');Molybdenum VI;
Molybdenum;('soil', 'agricultural');Molybdenum VI;
Molybdenum;('air', 'non-urban air or from high stacks');Molybdenum VI;
Molybdenum;('soil',);Molybdenum VI;
Molybdenum;('air', 'urban air close to ground');Molybdenum VI;
Molybdenum;('water', 'ocean');Molybdenum VI;
Molybdenum;('water', 'ground-, long-term');Molybdenum VI;
Molybdenum;('air',);Molybdenum VI;
Molybdenum;('water',);Molybdenum VI;
Molybdenum;('water', 'ground-');Molybdenum VI;
Molybdenum;('air', 'low population density, long-term');Molybdenum VI;
Molybdenum;('soil', 'industrial');Molybdenum VI;
Monosodium acid methanearsonate;('soil', 'agricultural');Arsenic ion;('soil', 'agricultural')
N-(2,3-dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide;('soil', 'agricultural');Fenhexamid;('soil', 'agricultural')
N-octane;('air',);Butane;('air', 'urban air close to ground')
Naphthalene;('water', 'ocean');Acenaphthylene;('water', 'ocean')
Naphthalene;('air', 'urban air close to ground');;('air',)
Nickel;('air', 'urban air close to ground');Nickel II;
Nickel;('water', 'ocean');Nickel II;
Nickel;('air', 'non-urban air or from high stacks');Nickel II;
Nickel;('water',);Nickel II;
Nickel;('water', 'ground-, long-term');Nickel II;
Nickel;('water', 'ground-');Nickel II;
Nickel;('air',);Nickel II;
Nickel;('soil', 'industrial');Nickel II;
Nickel;('air', 'lower stratosphere + upper troposphere');Nickel II;
Nickel;('air', 'low population density, long-term');Nickel II;
Nickel;('water', 'surface water');Nickel II;
Nickel;('soil', 'agricultural');Nickel II;
Nickel;('soil',);Nickel II;
Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore;('natural resource', 'in ground');Nickel;
Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore;('natural resource', 'in ground');Nickel;
Nickel, resource correction;('natural resource', 'in ground');Nickel;
Nitrate;('soil', 'industrial');;('soil',)
Nitric acid;('water',);Butyric acid;('water',)
Nitrogen dioxide;('air',);Nitrogen oxides;
Nitrogen dioxide, RAF;('air',);Nitrogen oxides;
Nitrogen monoxide;('air',);Nitrogen oxides;
NMVOC, non-methane volatile organic compounds, unspecified origin;('air', 'non-urban air or from high stacks');NMVOC, non-methane volatile organic compounds;
NMVOC, non-methane volatile organic compounds, unspecified origin;('air', 'urban air close to ground');NMVOC, non-methane volatile organic compounds;
NMVOC, non-methane volatile organic compounds, unspecified origin;('air',);NMVOC, non-methane volatile organic compounds;
NMVOC, non-methane volatile organic compounds, unspecified origin;('air', 'lower stratosphere + upper troposphere');NMVOC, non-methane volatile organic compounds;
Noise, aircraft, freight;('non material emissions',);;
Noise, aircraft, passenger;('non material emissions',);;
Noise, rail, freight train;('non material emissions',);;
Noise, rail, passenger train, average;('non material emissions',);;
Noise, road, lorry, average;('non material emissions',);;
Noise, road, passenger car, average;('non material emissions',);;
Occupation, agriculture;('natural resource', 'land');Occupation, annual crop;
